تاریخ و ساعت,آیدی کاربر,نقش,نوع عملیات,کد محصول (SKU),جزئیات تغییر
2025-12-25 12:55:21,7596160172,admin,PRICE,182121,220000000
2025-12-25 12:55:43,7596160172,admin,REM_PRICE,182121,Cleared
2025-12-27 11:18:49,mostafavi ,admin,تغییر قیمت,1000897,204000000
2025-12-27 11:19:27,mostafavi ,admin,تغییر قیمت,1000897,203900000
2025-12-28 12:58:18,mostafavi ,admin,تغییر قیمت,1000748,89000000
2025-12-28 12:59:10,mostafavi ,admin,تغییر قیمت,1000997,95000000
2025-12-28 13:00:33,mostafavi ,admin,تغییر قیمت,1000961,101000000
2025-12-29 10:46:53,mostafavi ,admin,تغییر قیمت,1000775,60000000
2025-12-30 11:42:28,mostafavi ,admin,تغییر قیمت,1000748,98000000
2025-12-30 11:46:39,mostafavi ,admin,تغییر قیمت,1000997,103000000
2025-12-30 11:47:18,mostafavi ,admin,تغییر قیمت,1000961,110000000
2025-12-30 23:17:12,mostafavi ,admin,تغییر قیمت,1000961,95000000
2025-12-30 23:17:38,mostafavi ,admin,تغییر قیمت,1000997,101000000
2025-12-30 23:18:21,mostafavi ,admin,تغییر قیمت,1000997,95000000
2026-01-01 13:36:07,h.kahkeshan,manager,ناموجود کردن,182149,OutStock
2026-01-01 13:41:39,h.kahkeshan,manager,تغییر قیمت,1000998,1130000000
2026-01-01 13:42:14,h.kahkeshan,manager,تغییر قیمت,1000998,113000000
2026-01-01 13:42:46,h.kahkeshan,manager,تغییر قیمت,1000984,138000000
2026-01-01 16:41:30,h.kahkeshan,manager,تغییر قیمت,1000897,217800000
2026-01-01 17:49:30,h.kahkeshan,manager,تغییر قیمت,1030169,9300000
2026-01-05 10:59:13,h.kahkeshan,manager,تغییر قیمت,1000897,207000000
2026-01-05 11:56:01,h.kahkeshan,manager,تغییر قیمت,1000973,165000000
2026-01-05 11:56:58,h.kahkeshan,manager,تغییر قیمت,1001013,185000000
2026-01-05 11:57:42,h.kahkeshan,manager,تغییر قیمت,1000968,153000000
2026-01-05 13:07:37,h.kahkeshan,manager,تغییر قیمت,1000775,75000000
2026-01-05 13:08:20,h.kahkeshan,manager,تغییر قیمت,1000923,75000000
2026-01-05 13:09:04,h.kahkeshan,manager,تغییر قیمت,1000775,64000000
2026-01-05 13:11:15,h.kahkeshan,manager,تغییر قیمت,1000897,206900000
2026-01-05 13:55:20,h.kahkeshan,manager,تغییر قیمت,1000998,110000000
2026-01-05 22:50:53,h.kahkeshan,manager,تغییر قیمت,1000998,113000000
2026-01-06 12:32:58,h.kahkeshan,manager,تغییر قیمت,1000007,16000000
2026-01-06 12:36:09,h.kahkeshan,manager,تغییر قیمت,1030297,29000000
2026-01-06 12:36:53,h.kahkeshan,manager,تغییر قیمت,1030169,12100000
2026-01-06 12:38:08,h.kahkeshan,manager,تغییر قیمت,1030393,24000000
2026-01-06 15:12:17,h.kahkeshan,manager,تغییر قیمت,1000998,117000000
2026-01-06 19:30:31,h.kahkeshan,manager,تغییر قیمت,1000897,213500000
2026-01-06 19:31:36,h.kahkeshan,manager,تغییر قیمت,1000923,78000000
2026-01-06 19:32:30,h.kahkeshan,manager,تغییر قیمت,1000775,66000000
2026-01-06 19:33:48,h.kahkeshan,manager,تغییر قیمت,1000993,78000000
2026-01-07 12:08:05,h.kahkeshan,manager,تغییر قیمت,1030367,17000000
2026-01-07 12:08:54,h.kahkeshan,manager,تغییر قیمت,1030472,17000000
2026-01-07 12:09:50,h.kahkeshan,manager,تغییر قیمت,1030398,24900000
2026-01-07 12:11:43,h.kahkeshan,manager,تغییر قیمت,1030393,22900000
2026-01-07 16:48:50,h.kahkeshan,manager,تغییر قیمت,1000007,19900000
2026-01-07 16:50:01,h.kahkeshan,manager,تغییر قیمت,1030169,13500000
2026-01-07 16:50:55,h.kahkeshan,manager,تغییر قیمت,1030297,36500000
